"completion_code","source_type","question","response","condition"
"6rmrw2uo","bluebias","improve",79,"Without"
"6rmrw2uo","helpful","trust",63,"Without"
"6rmrw2uo","helpful","improve",66,"Without"
"6rmrw2uo","random","trust",57,"Without"
"6rmrw2uo","random","improve",61,"Without"
"6rmrw2uo","opposite","trust",44,"Without"
"6rmrw2uo","opposite","improve",42,"Without"
"5yxs73vp","bluebias","trust",71,"Without"
"5yxs73vp","bluebias","improve",60,"Without"
"5yxs73vp","opposite","trust",16,"Without"
"5yxs73vp","opposite","improve",15,"Without"
"5yxs73vp","random","trust",60,"Without"
"5yxs73vp","random","improve",42,"Without"
"5yxs73vp","helpful","trust",67,"Without"
"5yxs73vp","helpful","improve",76,"Without"
"y5fg4r0r","random","trust",43,"Without"
"y5fg4r0r","random","improve",45,"Without"
"y5fg4r0r","opposite","trust",12,"Without"
"y5fg4r0r","opposite","improve",13,"Without"
"y5fg4r0r","bluebias","trust",89,"Without"
"y5fg4r0r","bluebias","improve",94,"Without"
"y5fg4r0r","helpful","trust",82,"Without"
"y5fg4r0r","helpful","improve",83,"Without"
"sq2sz1m1","bluebias","trust",75,"Without"
"sq2sz1m1","bluebias","improve",74,"Without"
"sq2sz1m1","opposite","trust",0,"Without"
"sq2sz1m1","opposite","improve",42,"Without"
"sq2sz1m1","random","trust",25,"Without"
"sq2sz1m1","random","improve",0,"Without"
"sq2sz1m1","helpful","trust",63,"Without"
"sq2sz1m1","helpful","improve",75,"Without"
"hgjp2508","helpful","trust",74,"Without"
"hgjp2508","helpful","improve",74,"Without"
"hgjp2508","opposite","trust",72,"Without"
"hgjp2508","opposite","improve",74,"Without"
"hgjp2508","bluebias","trust",36,"Without"
"hgjp2508","bluebias","improve",24,"Without"
"hgjp2508","random","trust",34,"Without"
"hgjp2508","random","improve",34,"Without"
"xur20ox7","random","trust",62,"Without"
"xur20ox7","random","improve",61,"Without"
"xur20ox7","helpful","trust",69,"Without"
"xur20ox7","helpful","improve",70,"Without"
"xur20ox7","bluebias","trust",75,"Without"
"xur20ox7","bluebias","improve",76,"Without"
"xur20ox7","opposite","trust",0,"Without"
"xur20ox7","opposite","improve",0,"Without"
"6skqdco8","opposite","trust",45,"Without"
"6skqdco8","opposite","improve",46,"Without"
"6skqdco8","bluebias","trust",42,"Without"
"6skqdco8","bluebias","improve",38,"Without"
"6skqdco8","helpful","trust",43,"Without"
"6skqdco8","helpful","improve",46,"Without"
"6skqdco8","random","trust",42,"Without"
"6skqdco8","random","improve",41,"Without"
"av68cc77","random","trust",32,"Without"
"av68cc77","random","improve",50,"Without"
"av68cc77","opposite","trust",5,"Without"
"av68cc77","opposite","improve",50,"Without"
"av68cc77","helpful","trust",74,"Without"
"av68cc77","helpful","improve",76,"Without"
"av68cc77","bluebias","trust",63,"Without"
"av68cc77","bluebias","improve",76,"Without"
"qawx8nb2","opposite","trust",73,"Without"
"qawx8nb2","opposite","improve",64,"Without"
"qawx8nb2","bluebias","trust",77,"Without"
"qawx8nb2","bluebias","improve",90,"Without"
"qawx8nb2","helpful","trust",72,"Without"
"qawx8nb2","helpful","improve",76,"Without"
"qawx8nb2","random","trust",20,"Without"
"qawx8nb2","random","improve",0,"Without"
"zehb9arf","helpful","trust",72,"Without"
"zehb9arf","helpful","improve",83,"Without"
"zehb9arf","opposite","trust",4,"Without"
"zehb9arf","opposite","improve",0,"Without"
"zehb9arf","random","trust",37,"Without"
"zehb9arf","random","improve",38,"Without"
"zehb9arf","bluebias","trust",40,"Without"
"zehb9arf","bluebias","improve",38,"Without"
"ba46vsx1","opposite","trust",1,"Without"
"ba46vsx1","opposite","improve",21,"Without"
"ba46vsx1","helpful","trust",77,"Without"
"ba46vsx1","helpful","improve",50,"Without"
"ba46vsx1","random","trust",91,"Without"
"ba46vsx1","random","improve",73,"Without"
"ba46vsx1","bluebias","trust",75,"Without"
"ba46vsx1","bluebias","improve",59,"Without"
"oqkd9cw6","bluebias","trust",81,"Without"
"oqkd9cw6","bluebias","improve",72,"Without"
"oqkd9cw6","helpful","trust",76,"Without"
"oqkd9cw6","helpful","improve",72,"Without"
"oqkd9cw6","random","trust",59,"Without"
"oqkd9cw6","random","improve",56,"Without"
"oqkd9cw6","opposite","trust",25,"Without"
"oqkd9cw6","opposite","improve",24,"Without"
"sz9bwmfe","bluebias","trust",69,"Without"
"sz9bwmfe","bluebias","improve",65,"Without"
"sz9bwmfe","helpful","trust",75,"Without"
"sz9bwmfe","helpful","improve",75,"Without"
"sz9bwmfe","opposite","trust",9,"Without"
"sz9bwmfe","opposite","improve",0,"Without"
"sz9bwmfe","random","trust",29,"Without"
"sz9bwmfe","random","improve",25,"Without"
"vv8nv2rl","random","trust",48,"Without"
"vv8nv2rl","random","improve",50,"Without"
"vv8nv2rl","helpful","trust",73,"Without"
"vv8nv2rl","helpful","improve",73,"Without"
"vv8nv2rl","opposite","trust",12,"Without"
"vv8nv2rl","opposite","improve",44,"Without"
"vv8nv2rl","bluebias","trust",69,"Without"
"vv8nv2rl","bluebias","improve",70,"Without"
"wjur09u7","bluebias","trust",77,"Without"
"wjur09u7","bluebias","improve",78,"Without"
"wjur09u7","random","trust",94,"Without"
"wjur09u7","random","improve",100,"Without"
"wjur09u7","helpful","trust",100,"Without"
"wjur09u7","helpful","improve",100,"Without"
"wjur09u7","opposite","trust",100,"Without"
"wjur09u7","opposite","improve",100,"Without"
"hka0xsxk","bluebias","trust",74,"Without"
"hka0xsxk","bluebias","improve",75,"Without"
"hka0xsxk","opposite","trust",0,"Without"
"hka0xsxk","opposite","improve",25,"Without"
"hka0xsxk","random","trust",29,"Without"
"hka0xsxk","random","improve",61,"Without"
"hka0xsxk","helpful","trust",59,"Without"
"hka0xsxk","helpful","improve",61,"Without"
"rufsfloj","opposite","trust",15,"Without"
"rufsfloj","opposite","improve",8,"Without"
"rufsfloj","random","trust",56,"Without"
"rufsfloj","random","improve",54,"Without"
"rufsfloj","helpful","trust",75,"Without"
"rufsfloj","helpful","improve",69,"Without"
"rufsfloj","bluebias","trust",82,"Without"
"rufsfloj","bluebias","improve",67,"Without"
"xet6subk","helpful","trust",75,"Without"
"xet6subk","helpful","improve",72,"Without"
"xet6subk","random","trust",41,"Without"
"xet6subk","random","improve",40,"Without"
"xet6subk","bluebias","trust",71,"Without"
"xet6subk","bluebias","improve",67,"Without"
"xet6subk","opposite","trust",13,"Without"
"xet6subk","opposite","improve",13,"Without"
"mmknp9bd","bluebias","trust",74,"Without"
"mmknp9bd","bluebias","improve",74,"Without"
"mmknp9bd","helpful","trust",68,"Without"
"mmknp9bd","helpful","improve",62,"Without"
"mmknp9bd","random","trust",50,"Without"
"mmknp9bd","random","improve",38,"Without"
"mmknp9bd","opposite","trust",26,"Without"
"mmknp9bd","opposite","improve",25,"Without"
"0xzs6x9a","opposite","trust",100,"Without"
"0xzs6x9a","opposite","improve",100,"Without"
"0xzs6x9a","bluebias","trust",100,"Without"
"0xzs6x9a","bluebias","improve",100,"Without"
"0xzs6x9a","helpful","trust",83,"Without"
"0xzs6x9a","helpful","improve",84,"Without"
"0xzs6x9a","random","trust",87,"Without"
"0xzs6x9a","random","improve",86,"Without"
"n8wlajbt","helpful","trust",52,"Without"
"n8wlajbt","helpful","improve",50,"Without"
"n8wlajbt","opposite","trust",4,"Without"
"n8wlajbt","opposite","improve",7,"Without"
"n8wlajbt","bluebias","trust",66,"Without"
"n8wlajbt","bluebias","improve",63,"Without"
"n8wlajbt","random","trust",36,"Without"
"n8wlajbt","random","improve",32,"Without"
"h56olome","random","trust",25,"Without"
"h56olome","random","improve",24,"Without"
"h56olome","opposite","trust",0,"Without"
"h56olome","opposite","improve",0,"Without"
"h56olome","bluebias","trust",75,"Without"
"h56olome","bluebias","improve",75,"Without"
"h56olome","helpful","trust",100,"Without"
"h56olome","helpful","improve",100,"Without"
"5u8z9z90","opposite","trust",74,"Without"
"5u8z9z90","opposite","improve",100,"Without"
"5u8z9z90","random","trust",100,"Without"
"5u8z9z90","random","improve",74,"Without"
"5u8z9z90","bluebias","trust",75,"Without"
"5u8z9z90","bluebias","improve",25,"Without"
"5u8z9z90","helpful","trust",75,"Without"
"5u8z9z90","helpful","improve",86,"Without"
"2he8ccjd","opposite","trust",24,"Without"
"2he8ccjd","opposite","improve",24,"Without"
"2he8ccjd","helpful","trust",76,"Without"
"2he8ccjd","helpful","improve",76,"Without"
"2he8ccjd","random","trust",63,"Without"
"2he8ccjd","random","improve",62,"Without"
"2he8ccjd","bluebias","trust",68,"Without"
"2he8ccjd","bluebias","improve",59,"Without"
"96zfz6u3","opposite","trust",3,"Without"
"96zfz6u3","opposite","improve",79,"Without"
"96zfz6u3","bluebias","trust",60,"Without"
"96zfz6u3","bluebias","improve",16,"Without"
"96zfz6u3","random","trust",50,"Without"
"96zfz6u3","random","improve",8,"Without"
"96zfz6u3","helpful","trust",67,"Without"
"96zfz6u3","helpful","improve",66,"Without"
"zg8wehcs","helpful","trust",74,"Without"
"zg8wehcs","helpful","improve",71,"Without"
"zg8wehcs","random","trust",50,"Without"
"zg8wehcs","random","improve",43,"Without"
"zg8wehcs","opposite","trust",23,"Without"
"zg8wehcs","opposite","improve",28,"Without"
"zg8wehcs","bluebias","trust",14,"Without"
"zg8wehcs","bluebias","improve",25,"Without"
"ay5h5gyg","bluebias","trust",72,"Without"
"ay5h5gyg","bluebias","improve",61,"Without"
"ay5h5gyg","opposite","trust",0,"Without"
"ay5h5gyg","opposite","improve",16,"Without"
"ay5h5gyg","random","trust",25,"Without"
"ay5h5gyg","random","improve",20,"Without"
"ay5h5gyg","helpful","trust",75,"Without"
"ay5h5gyg","helpful","improve",76,"Without"
"24p74eye","opposite","trust",50,"Without"
"24p74eye","opposite","improve",50,"Without"
"24p74eye","random","trust",69,"Without"
"24p74eye","random","improve",66,"Without"
"24p74eye","bluebias","trust",36,"Without"
"24p74eye","bluebias","improve",37,"Without"
"24p74eye","helpful","trust",75,"Without"
"24p74eye","helpful","improve",75,"Without"
"ztdm09e0","opposite","trust",0,"Without"
"ztdm09e0","opposite","improve",23,"Without"
"ztdm09e0","bluebias","trust",58,"Without"
"ztdm09e0","bluebias","improve",50,"Without"
"ztdm09e0","random","trust",25,"Without"
"ztdm09e0","random","improve",50,"Without"
"ztdm09e0","helpful","trust",75,"Without"
"ztdm09e0","helpful","improve",75,"Without"
"nf32x2lg","helpful","trust",71,"Without"
"nf32x2lg","helpful","improve",66,"Without"
"nf32x2lg","random","trust",30,"Without"
"nf32x2lg","random","improve",13,"Without"
"nf32x2lg","opposite","trust",1,"Without"
"nf32x2lg","opposite","improve",1,"Without"
"nf32x2lg","bluebias","trust",62,"Without"
"nf32x2lg","bluebias","improve",24,"Without"
"wu163rh7","helpful","trust",95,"Without"
"wu163rh7","helpful","improve",93,"Without"
"wu163rh7","random","trust",18,"Without"
"wu163rh7","random","improve",14,"Without"
"wu163rh7","opposite","trust",0,"Without"
"wu163rh7","opposite","improve",0,"Without"
"wu163rh7","bluebias","trust",36,"Without"
"wu163rh7","bluebias","improve",0,"Without"
"bkakv44h","helpful","trust",78,"Without"
"bkakv44h","helpful","improve",81,"Without"
"bkakv44h","random","trust",22,"Without"
"bkakv44h","random","improve",6,"Without"
"bkakv44h","bluebias","trust",100,"Without"
"bkakv44h","bluebias","improve",100,"Without"
"bkakv44h","opposite","trust",0,"Without"
"bkakv44h","opposite","improve",0,"Without"
"gcaq5nry","bluebias","trust",80,"Without"
"gcaq5nry","bluebias","improve",78,"Without"
"gcaq5nry","opposite","trust",26,"Without"
"gcaq5nry","opposite","improve",50,"Without"
"gcaq5nry","random","trust",62,"Without"
"gcaq5nry","random","improve",22,"Without"
"gcaq5nry","helpful","trust",75,"Without"
"gcaq5nry","helpful","improve",90,"Without"
"3bjhzu16","bluebias","trust",61,"Without"
"3bjhzu16","bluebias","improve",61,"Without"
"3bjhzu16","random","trust",27,"Without"
"3bjhzu16","random","improve",26,"Without"
"3bjhzu16","opposite","trust",4,"Without"
"3bjhzu16","opposite","improve",13,"Without"
"3bjhzu16","helpful","trust",90,"Without"
"3bjhzu16","helpful","improve",82,"Without"
"ynx5yx4t","random","trust",74,"Without"
"ynx5yx4t","random","improve",74,"Without"
"ynx5yx4t","opposite","trust",25,"Without"
"ynx5yx4t","opposite","improve",75,"Without"
"ynx5yx4t","helpful","trust",100,"Without"
"ynx5yx4t","helpful","improve",100,"Without"
"ynx5yx4t","bluebias","trust",77,"Without"
"ynx5yx4t","bluebias","improve",76,"Without"
"uw3x4axw","helpful","trust",81,"Without"
"uw3x4axw","helpful","improve",80,"Without"
"uw3x4axw","bluebias","trust",60,"Without"
"uw3x4axw","bluebias","improve",61,"Without"
"uw3x4axw","opposite","trust",0,"Without"
"uw3x4axw","opposite","improve",0,"Without"
"uw3x4axw","random","trust",41,"Without"
"uw3x4axw","random","improve",42,"Without"
"8ujuqwul","random","trust",78,"Without"
"8ujuqwul","random","improve",81,"Without"
"8ujuqwul","bluebias","trust",75,"Without"
"8ujuqwul","bluebias","improve",77,"Without"
"8ujuqwul","opposite","trust",73,"Without"
"8ujuqwul","opposite","improve",83,"Without"
"8ujuqwul","helpful","trust",74,"Without"
"8ujuqwul","helpful","improve",78,"Without"
"z87hfwv7","random","trust",25,"Without"
"z87hfwv7","random","improve",24,"Without"
"z87hfwv7","bluebias","trust",23,"Without"
"z87hfwv7","bluebias","improve",25,"Without"
"z87hfwv7","helpful","trust",53,"Without"
"z87hfwv7","helpful","improve",63,"Without"
"z87hfwv7","opposite","trust",1,"Without"
"z87hfwv7","opposite","improve",72,"Without"
"hxqr8s7b","random","trust",45,"Without"
"hxqr8s7b","random","improve",43,"Without"
"hxqr8s7b","bluebias","trust",29,"Without"
"hxqr8s7b","bluebias","improve",36,"Without"
"hxqr8s7b","opposite","trust",13,"Without"
"hxqr8s7b","opposite","improve",12,"Without"
"hxqr8s7b","helpful","trust",60,"Without"
"hxqr8s7b","helpful","improve",74,"Without"
"curj7lva","helpful","trust",27,"Without"
"curj7lva","helpful","improve",75,"Without"
"curj7lva","random","trust",0,"Without"
"curj7lva","random","improve",0,"Without"
"curj7lva","bluebias","trust",23,"Without"
"curj7lva","bluebias","improve",77,"Without"
"curj7lva","opposite","trust",0,"Without"
"curj7lva","opposite","improve",0,"Without"
"qqsdhoaq","bluebias","trust",0,"Without"
"qqsdhoaq","bluebias","improve",22,"Without"
"qqsdhoaq","helpful","trust",70,"Without"
"qqsdhoaq","helpful","improve",76,"Without"
"qqsdhoaq","random","trust",0,"Without"
"qqsdhoaq","random","improve",0,"Without"
"qqsdhoaq","opposite","trust",0,"Without"
"qqsdhoaq","opposite","improve",0,"Without"
"g7ndke5p","random","trust",74,"Without"
"g7ndke5p","random","improve",79,"Without"
"g7ndke5p","opposite","trust",0,"Without"
"g7ndke5p","opposite","improve",77,"Without"
"g7ndke5p","bluebias","trust",50,"Without"
"g7ndke5p","bluebias","improve",27,"Without"
"g7ndke5p","helpful","trust",86,"Without"
"g7ndke5p","helpful","improve",86,"Without"
"3ytrl1h3","helpful","trust",71,"Without"
"3ytrl1h3","helpful","improve",48,"Without"
"3ytrl1h3","bluebias","trust",36,"Without"
"3ytrl1h3","bluebias","improve",26,"Without"
"3ytrl1h3","random","trust",9,"Without"
"3ytrl1h3","random","improve",58,"Without"
"3ytrl1h3","opposite","trust",9,"Without"
"3ytrl1h3","opposite","improve",51,"Without"
"j8p1j8bt","opposite","trust",57,"Without"
"j8p1j8bt","opposite","improve",57,"Without"
"j8p1j8bt","helpful","trust",87,"Without"
"j8p1j8bt","helpful","improve",91,"Without"
"j8p1j8bt","bluebias","trust",70,"Without"
"j8p1j8bt","bluebias","improve",66,"Without"
"j8p1j8bt","random","trust",49,"Without"
"j8p1j8bt","random","improve",42,"Without"
"pje27l95","opposite","trust",100,"Without"
"pje27l95","opposite","improve",100,"Without"
"pje27l95","random","trust",100,"Without"
"pje27l95","random","improve",100,"Without"
"pje27l95","bluebias","trust",100,"Without"
"pje27l95","bluebias","improve",100,"Without"
"pje27l95","helpful","trust",100,"Without"
"pje27l95","helpful","improve",100,"Without"
"vezaobqf","bluebias","trust",14,"Without"
"vezaobqf","bluebias","improve",13,"Without"
"vezaobqf","random","trust",25,"Without"
"vezaobqf","random","improve",25,"Without"
"vezaobqf","helpful","trust",63,"Without"
"vezaobqf","helpful","improve",85,"Without"
"vezaobqf","opposite","trust",0,"Without"
"vezaobqf","opposite","improve",0,"Without"
"1p4xgcv2","bluebias","trust",75,"Without"
"1p4xgcv2","bluebias","improve",50,"Without"
"1p4xgcv2","random","trust",73,"Without"
"1p4xgcv2","random","improve",50,"Without"
"1p4xgcv2","opposite","trust",20,"Without"
"1p4xgcv2","opposite","improve",50,"Without"
"1p4xgcv2","helpful","trust",72,"Without"
"1p4xgcv2","helpful","improve",67,"Without"
"73nj39v8","helpful","trust",73,"Without"
"73nj39v8","helpful","improve",74,"Without"
"73nj39v8","bluebias","trust",30,"Without"
"73nj39v8","bluebias","improve",35,"Without"
"73nj39v8","random","trust",29,"Without"
"73nj39v8","random","improve",20,"Without"
"73nj39v8","opposite","trust",0,"Without"
"73nj39v8","opposite","improve",0,"Without"
"wqp4kgnn","helpful","trust",62,"Without"
"wqp4kgnn","helpful","improve",71,"Without"
"wqp4kgnn","bluebias","trust",26,"Without"
"wqp4kgnn","bluebias","improve",64,"Without"
"wqp4kgnn","random","trust",0,"Without"
"wqp4kgnn","random","improve",25,"Without"
"wqp4kgnn","opposite","trust",0,"Without"
"wqp4kgnn","opposite","improve",83,"Without"
"1rfyqzvl","helpful","trust",71,"Without"
"1rfyqzvl","helpful","improve",76,"Without"
"1rfyqzvl","bluebias","trust",54,"Without"
"1rfyqzvl","bluebias","improve",42,"Without"
"1rfyqzvl","random","trust",38,"Without"
"1rfyqzvl","random","improve",37,"Without"
"1rfyqzvl","opposite","trust",47,"Without"
"1rfyqzvl","opposite","improve",37,"Without"
"vlbgtrd6","bluebias","trust",100,"Without"
"vlbgtrd6","bluebias","improve",75,"Without"
"vlbgtrd6","helpful","trust",50,"Without"
"vlbgtrd6","helpful","improve",74,"Without"
"vlbgtrd6","opposite","trust",50,"Without"
"vlbgtrd6","opposite","improve",36,"Without"
"vlbgtrd6","random","trust",75,"Without"
"vlbgtrd6","random","improve",76,"Without"
"5783rgu8","opposite","trust",50,"Without"
"5783rgu8","opposite","improve",50,"Without"
"5783rgu8","helpful","trust",50,"Without"
"5783rgu8","helpful","improve",50,"Without"
"5783rgu8","random","trust",50,"Without"
"5783rgu8","random","improve",50,"Without"
"5783rgu8","bluebias","trust",51,"Without"
"5783rgu8","bluebias","improve",50,"Without"
"aryq12pr","helpful","trust",87,"Without"
"aryq12pr","helpful","improve",83,"Without"
"aryq12pr","opposite","trust",13,"Without"
"aryq12pr","opposite","improve",0,"Without"
"aryq12pr","random","trust",38,"Without"
"aryq12pr","random","improve",0,"Without"
"aryq12pr","bluebias","trust",70,"Without"
"aryq12pr","bluebias","improve",50,"Without"
"qe5e38dy","random","trust",75,"Without"
"qe5e38dy","random","improve",50,"Without"
"qe5e38dy","helpful","trust",50,"Without"
"qe5e38dy","helpful","improve",50,"Without"
"qe5e38dy","bluebias","trust",100,"Without"
"qe5e38dy","bluebias","improve",76,"Without"
"qe5e38dy","opposite","trust",25,"Without"
"qe5e38dy","opposite","improve",25,"Without"
"rovbg9xl","opposite","trust",10,"Without"
"rovbg9xl","opposite","improve",23,"Without"
"rovbg9xl","helpful","trust",76,"Without"
"rovbg9xl","helpful","improve",75,"Without"
"rovbg9xl","bluebias","trust",63,"Without"
"rovbg9xl","bluebias","improve",71,"Without"
"rovbg9xl","random","trust",37,"Without"
"rovbg9xl","random","improve",19,"Without"
"yg4kx7h7","helpful","trust",77,"Without"
"yg4kx7h7","helpful","improve",51,"Without"
"yg4kx7h7","opposite","trust",0,"Without"
"yg4kx7h7","opposite","improve",100,"Without"
"yg4kx7h7","random","trust",62,"Without"
"yg4kx7h7","random","improve",50,"Without"
"yg4kx7h7","bluebias","trust",50,"Without"
"yg4kx7h7","bluebias","improve",37,"Without"
"m2gt677r","helpful","trust",25,"Without"
"m2gt677r","helpful","improve",25,"Without"
"m2gt677r","random","trust",13,"Without"
"m2gt677r","random","improve",6,"Without"
"m2gt677r","bluebias","trust",26,"Without"
"m2gt677r","bluebias","improve",25,"Without"
"m2gt677r","opposite","trust",4,"Without"
"m2gt677r","opposite","improve",63,"Without"
"q50cay2n","helpful","trust",73,"Without"
"q50cay2n","helpful","improve",71,"Without"
"q50cay2n","opposite","trust",1,"Without"
"q50cay2n","opposite","improve",9,"Without"
"q50cay2n","random","trust",42,"Without"
"q50cay2n","random","improve",50,"Without"
"q50cay2n","bluebias","trust",84,"Without"
"q50cay2n","bluebias","improve",88,"Without"
"3px58snn","bluebias","trust",71,"Without"
"3px58snn","bluebias","improve",65,"Without"
"3px58snn","helpful","trust",75,"Without"
"3px58snn","helpful","improve",75,"Without"
"3px58snn","random","trust",50,"Without"
"3px58snn","random","improve",58,"Without"
"3px58snn","opposite","trust",1,"Without"
"3px58snn","opposite","improve",2,"Without"
"pt4fljw4","helpful","trust",51,"Without"
"pt4fljw4","helpful","improve",50,"Without"
"pt4fljw4","opposite","trust",0,"Without"
"pt4fljw4","opposite","improve",0,"Without"
"pt4fljw4","bluebias","trust",89,"Without"
"pt4fljw4","bluebias","improve",85,"Without"
"pt4fljw4","random","trust",48,"Without"
"pt4fljw4","random","improve",48,"Without"
"ntupqwb6","opposite","trust",74,"Without"
"ntupqwb6","opposite","improve",29,"Without"
"ntupqwb6","random","trust",18,"Without"
"ntupqwb6","random","improve",48,"Without"
"ntupqwb6","helpful","trust",100,"Without"
"ntupqwb6","helpful","improve",93,"Without"
"ntupqwb6","bluebias","trust",30,"Without"
"ntupqwb6","bluebias","improve",62,"Without"
"ap8dgzkf","random","trust",62,"Without"
"ap8dgzkf","random","improve",76,"Without"
"ap8dgzkf","helpful","trust",91,"Without"
"ap8dgzkf","helpful","improve",94,"Without"
"ap8dgzkf","bluebias","trust",59,"Without"
"ap8dgzkf","bluebias","improve",42,"Without"
"ap8dgzkf","opposite","trust",11,"Without"
"ap8dgzkf","opposite","improve",4,"Without"
"krveh035","random","trust",38,"Without"
