"","completion_code","source_type","X_F","posterior_blue_F","posterior_blue_F_data","block_stage","trial_number_within_block","condition","news_station_first","with_independent_council","X_I","block_half","block_quarter","correct_state","ground_truth","agent_name","learner_type","b_F_estimate","g_F_estimate","posterior_blue_I","a_I","c_I","a_F","c_F","posterior_indep","logodds_blue_I"
"22","74crp9wo","helpful",3,0.656595106583711,0.84,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","74crp9wo","helpful",4,0.957386682890805,0.83,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","74crp9wo","helpful",5,0.99634798272944,0.96,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","gb7904jd","opposite",0,0.998573210830591,0.75,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","gb7904jd","opposite",1,0.987349719003606,0.61,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","gb7904jd","opposite",2,0.895600154590101,0.66,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","gb7904jd","opposite",3,0.480179303223169,0.4,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","gb7904jd","opposite",4,0.0882717520776213,0.27,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","gb7904jd","opposite",5,0.00971108514751459,0.14,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","gb7904jd","helpful",0,0.0197654512920142,0.13,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","gb7904jd","helpful",1,0.0792574202970418,0.05,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","gb7904jd","helpful",2,0.269916957652933,0.1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","gb7904jd","helpful",3,0.615676633570953,0.82,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","gb7904jd","helpful",4,0.875364903689635,0.78,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","gb7904jd","helpful",5,0.968992323582862,0.84,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","gb7904jd","bluebias",0,0.019541088533407,0.24,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","gb7904jd","bluebias",1,0.056763021394085,0.33,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","gb7904jd","bluebias",2,0.157248892058056,0.25,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gb7904jd","bluebias",3,0.373505514466366,0.7,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","gb7904jd","bluebias",4,0.663403223690328,0.64,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","gb7904jd","bluebias",5,0.87134804703623,0.82,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","gb7904jd","random",0,0.455641397013303,0.41,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","gb7904jd","random",1,0.473137334615911,0.35,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","gb7904jd","random",2,0.49156069724977,0.41,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","gb7904jd","random",3,0.510890188040656,0.33,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","gb7904jd","random",4,0.53109324988574,0.6,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","gb7904jd","random",5,0.55212436120031,0.64,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","qlfh0hd9","helpful",0,0.00811617128731701,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","qlfh0hd9","helpful",1,0.0527977695279842,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","qlfh0hd9","helpful",2,0.273196293199583,0.75,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","qlfh0hd9","helpful",3,0.71589939878105,0.25,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","qlfh0hd9","helpful",4,0.94401921404488,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","qlfh0hd9","helpful",5,0.991237405433408,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","qlfh0hd9","bluebias",0,0.0260790031541784,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","qlfh0hd9","bluebias",1,0.0678056040324306,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","qlfh0hd9","bluebias",2,0.168619542907276,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","qlfh0hd9","bluebias",3,0.368078274626896,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","qlfh0hd9","bluebias",4,0.633645540707779,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","qlfh0hd9","bluebias",5,0.842125197386472,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","qlfh0hd9","opposite",0,0.999572963042863,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","qlfh0hd9","opposite",1,0.99428495476086,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","qlfh0hd9","opposite",2,0.926302207462457,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","qlfh0hd9","opposite",3,0.466552949572273,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","qlfh0hd9","opposite",4,0.0548355246539657,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","qlfh0hd9","opposite",5,0.00361208913584001,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","qlfh0hd9","random",0,0.381229797594668,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","qlfh0hd9","random",1,0.430038158675103,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","qlfh0hd9","random",2,0.479135418636548,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","qlfh0hd9","random",3,0.527611749000056,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","qlfh0hd9","random",4,0.574639937574962,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","qlfh0hd9","random",5,0.619522946602089,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","0p8dfxsx","opposite",0,0.978746065824602,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","0p8dfxsx","opposite",1,0.909313790465489,0.89,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","0p8dfxsx","opposite",2,0.687538654430645,0.72,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","0p8dfxsx","opposite",3,0.32670156659183,0.23,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","0p8dfxsx","opposite",4,0.0968315832489736,0.06,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","0p8dfxsx","opposite",5,0.0231209091236964,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","0p8dfxsx","bluebias",0,0.00741883507600925,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","0p8dfxsx","bluebias",1,0.0307247654085594,0.19,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","0p8dfxsx","bluebias",2,0.12071048851246,0.36,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","0p8dfxsx","bluebias",3,0.378705977705665,0.66,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","0p8dfxsx","bluebias",4,0.735943930378398,0.76,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","0p8dfxsx","bluebias",5,0.929527824631436,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","0p8dfxsx","random",0,0.377432622242541,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","0p8dfxsx","random",1,0.42220692468505,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","0p8dfxsx","random",2,0.467483828711776,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","0p8dfxsx","random",3,0.512550776534359,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","0p8dfxsx","random",4,0.556733038430714,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","0p8dfxsx","random",5,0.599429885555778,0.5,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","0p8dfxsx","helpful",0,0.0143324657067228,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","0p8dfxsx","helpful",1,0.08187128745709,0.01,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","0p8dfxsx","helpful",2,0.349630803272097,0.28,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","0p8dfxsx","helpful",3,0.761847500789562,0.79,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","0p8dfxsx","helpful",4,0.949653123556175,0.88,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","0p8dfxsx","helpful",5,0.991040551984422,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","9uledqxn","opposite",0,0.996131756665804,0.88,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","9uledqxn","opposite",1,0.976000065764728,0.87,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","9uledqxn","opposite",2,0.863853168385343,0.76,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","9uledqxn","opposite",3,0.493360612052837,0.28,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","9uledqxn","opposite",4,0.127636854931073,0.13,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","9uledqxn","opposite",5,0.0209612440831917,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","9uledqxn","random",0,0.658120658710882,0.47,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","9uledqxn","random",1,0.602289325270535,0.44,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","9uledqxn","random",2,0.54439843041702,0.47,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","9uledqxn","random",3,0.485938752823783,0.52,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","9uledqxn","random",4,0.428423513664943,0.52,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","9uledqxn","random",5,0.373239688123013,0.52,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","9uledqxn","bluebias",0,0.00550300450953571,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","9uledqxn","bluebias",1,0.0206875371440957,0.32,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","9uledqxn","bluebias",2,0.0777625430554783,0.36,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","9uledqxn","bluebias",3,0.261567608505562,0.7,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","9uledqxn","bluebias",4,0.612189474821568,0.81,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","9uledqxn","bluebias",5,0.882849206842592,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","9uledqxn","helpful",0,0.00129644077003856,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","9uledqxn","helpful",1,0.018432908953049,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","9uledqxn","helpful",2,0.210682854323482,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","9uledqxn","helpful",3,0.789843387053764,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","9uledqxn","helpful",4,0.981428214503945,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","9uledqxn","helpful",5,0.998664788056744,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","uu6sywal","opposite",0,0.993270563178001,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","uu6sywal","opposite",1,0.946202691188186,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","uu6sywal","opposite",2,0.679385055595997,0.9,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","uu6sywal","opposite",3,0.204317334790612,0.11,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","uu6sywal","opposite",4,0.0302008556962048,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","uu6sywal","opposite",5,0.00374673136366246,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","uu6sywal","helpful",0,0.00255004609084683,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","uu6sywal","helpful",1,0.0238936399887082,0.11,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","uu6sywal","helpful",2,0.189184215558246,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","uu6sywal","helpful",3,0.690080454802198,0.86,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","uu6sywal","helpful",4,0.955349465101216,0.82,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","uu6sywal","helpful",5,0.995221017629999,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","uu6sywal","random",0,0.384301881298238,0.03,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","uu6sywal","random",1,0.438511567481437,0.08,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","uu6sywal","random",2,0.492725625217513,0.04,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","uu6sywal","random",3,0.545730224253669,0.94,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","uu6sywal","random",4,0.596475931765674,0.96,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","uu6sywal","random",5,0.644141347251186,0.99,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","uu6sywal","bluebias",0,0.000604870060651058,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","uu6sywal","bluebias",1,0.00388835104146196,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","uu6sywal","bluebias",2,0.0262866502721658,0.04,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","uu6sywal","bluebias",3,0.168561625876176,0.02,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","uu6sywal","bluebias",4,0.626874073533541,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","uu6sywal","bluebias",5,0.940119158569007,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","sheb66w1","opposite",0,0.993296938338059,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","sheb66w1","opposite",1,0.949039552170347,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","sheb66w1","opposite",2,0.704001234736269,1,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","sheb66w1","opposite",3,0.234974495671032,0,"station_only",NA,NA,"First","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
